bbox_bounds,winsize
"(0, 0, 208, 208)",208
"(0, 125, 208, 333)",208
"(0, 250, 208, 458)",208
"(0, 375, 208, 583)",208
"(0, 500, 208, 708)",208
"(0, 625, 208, 833)",208
"(125, 0, 333, 208)",208
"(125, 125, 333, 333)",208
"(125, 250, 333, 458)",208
"(125, 375, 333, 583)",208
"(125, 500, 333, 708)",208
"(125, 625, 333, 833)",208
"(250, 0, 458, 208)",208
"(250, 125, 458, 333)",208
"(250, 250, 458, 458)",208
"(250, 375, 458, 583)",208
"(250, 500, 458, 708)",208
"(250, 625, 458, 833)",208
"(375, 0, 583, 208)",208
"(375, 125, 583, 333)",208
"(375, 250, 583, 458)",208
"(375, 375, 583, 583)",208
"(375, 500, 583, 708)",208
"(375, 625, 583, 833)",208
"(500, 0, 708, 208)",208
"(500, 125, 708, 333)",208
"(500, 250, 708, 458)",208
"(500, 375, 708, 583)",208
"(500, 500, 708, 708)",208
"(500, 625, 708, 833)",208
"(625, 0, 833, 208)",208
"(625, 125, 833, 333)",208
"(625, 250, 833, 458)",208
"(625, 375, 833, 583)",208
"(625, 500, 833, 708)",208
"(625, 625, 833, 833)",208
"(750, 0, 958, 208)",208
"(750, 125, 958, 333)",208
"(750, 250, 958, 458)",208
"(750, 375, 958, 583)",208
"(750, 500, 958, 708)",208
"(750, 625, 958, 833)",208
"(875, 0, 1083, 208)",208
"(875, 125, 1083, 333)",208
"(875, 250, 1083, 458)",208
"(875, 375, 1083, 583)",208
"(875, 500, 1083, 708)",208
"(875, 625, 1083, 833)",208
"(1000, 0, 1208, 208)",208
"(1000, 125, 1208, 333)",208
"(1000, 250, 1208, 458)",208
"(1000, 375, 1208, 583)",208
"(1000, 500, 1208, 708)",208
"(1000, 625, 1208, 833)",208
"(1125, 0, 1333, 208)",208
"(1125, 125, 1333, 333)",208
"(1125, 250, 1333, 458)",208
"(1125, 375, 1333, 583)",208
"(1125, 500, 1333, 708)",208
"(1125, 625, 1333, 833)",208
"(0, 0, 278, 278)",278
"(0, 166, 278, 444)",278
"(0, 332, 278, 610)",278
"(0, 498, 278, 776)",278
"(166, 0, 444, 278)",278
"(166, 166, 444, 444)",278
"(166, 332, 444, 610)",278
"(166, 498, 444, 776)",278
"(332, 0, 610, 278)",278
"(332, 166, 610, 444)",278
"(332, 332, 610, 610)",278
"(332, 498, 610, 776)",278
"(498, 0, 776, 278)",278
"(498, 166, 776, 444)",278
"(498, 332, 776, 610)",278
"(498, 498, 776, 776)",278
"(664, 0, 942, 278)",278
"(664, 166, 942, 444)",278
"(664, 332, 942, 610)",278
"(664, 498, 942, 776)",278
"(830, 0, 1108, 278)",278
"(830, 166, 1108, 444)",278
"(830, 332, 1108, 610)",278
"(830, 498, 1108, 776)",278
"(996, 0, 1274, 278)",278
"(996, 166, 1274, 444)",278
"(996, 332, 1274, 610)",278
"(996, 498, 1274, 776)",278
"(0, 0, 416, 416)",416
"(0, 250, 416, 666)",416
"(250, 0, 666, 416)",416
"(250, 250, 666, 666)",416
"(500, 0, 916, 416)",416
"(500, 250, 916, 666)",416
"(750, 0, 1166, 416)",416
"(750, 250, 1166, 666)",416
