bbox_bounds,winsize
"(0, 0, 208, 208)",208
"(0, 125, 208, 333)",208
"(0, 250, 208, 458)",208
"(0, 375, 208, 583)",208
"(0, 500, 208, 708)",208
"(0, 625, 208, 833)",208
"(0, 750, 208, 958)",208
"(0, 875, 208, 1083)",208
"(0, 1000, 208, 1208)",208
"(0, 1125, 208, 1333)",208
"(0, 1250, 208, 1458)",208
"(0, 1375, 208, 1583)",208
"(0, 1500, 208, 1708)",208
"(0, 1625, 208, 1833)",208
"(125, 0, 333, 208)",208
"(125, 125, 333, 333)",208
"(125, 250, 333, 458)",208
"(125, 375, 333, 583)",208
"(125, 500, 333, 708)",208
"(125, 625, 333, 833)",208
"(125, 750, 333, 958)",208
"(125, 875, 333, 1083)",208
"(125, 1000, 333, 1208)",208
"(125, 1125, 333, 1333)",208
"(125, 1250, 333, 1458)",208
"(125, 1375, 333, 1583)",208
"(125, 1500, 333, 1708)",208
"(125, 1625, 333, 1833)",208
"(250, 0, 458, 208)",208
"(250, 125, 458, 333)",208
"(250, 250, 458, 458)",208
"(250, 375, 458, 583)",208
"(250, 500, 458, 708)",208
"(250, 625, 458, 833)",208
"(250, 750, 458, 958)",208
"(250, 875, 458, 1083)",208
"(250, 1000, 458, 1208)",208
"(250, 1125, 458, 1333)",208
"(250, 1250, 458, 1458)",208
"(250, 1375, 458, 1583)",208
"(250, 1500, 458, 1708)",208
"(250, 1625, 458, 1833)",208
"(375, 0, 583, 208)",208
"(375, 125, 583, 333)",208
"(375, 250, 583, 458)",208
"(375, 375, 583, 583)",208
"(375, 500, 583, 708)",208
"(375, 625, 583, 833)",208
"(375, 750, 583, 958)",208
"(375, 875, 583, 1083)",208
"(375, 1000, 583, 1208)",208
"(375, 1125, 583, 1333)",208
"(375, 1250, 583, 1458)",208
"(375, 1375, 583, 1583)",208
"(375, 1500, 583, 1708)",208
"(375, 1625, 583, 1833)",208
"(500, 0, 708, 208)",208
"(500, 125, 708, 333)",208
"(500, 250, 708, 458)",208
"(500, 375, 708, 583)",208
"(500, 500, 708, 708)",208
"(500, 625, 708, 833)",208
"(500, 750, 708, 958)",208
"(500, 875, 708, 1083)",208
"(500, 1000, 708, 1208)",208
"(500, 1125, 708, 1333)",208
"(500, 1250, 708, 1458)",208
"(500, 1375, 708, 1583)",208
"(500, 1500, 708, 1708)",208
"(500, 1625, 708, 1833)",208
"(625, 0, 833, 208)",208
"(625, 125, 833, 333)",208
"(625, 250, 833, 458)",208
"(625, 375, 833, 583)",208
"(625, 500, 833, 708)",208
"(625, 625, 833, 833)",208
"(625, 750, 833, 958)",208
"(625, 875, 833, 1083)",208
"(625, 1000, 833, 1208)",208
"(625, 1125, 833, 1333)",208
"(625, 1250, 833, 1458)",208
"(625, 1375, 833, 1583)",208
"(625, 1500, 833, 1708)",208
"(625, 1625, 833, 1833)",208
"(750, 0, 958, 208)",208
"(750, 125, 958, 333)",208
"(750, 250, 958, 458)",208
"(750, 375, 958, 583)",208
"(750, 500, 958, 708)",208
"(750, 625, 958, 833)",208
"(750, 750, 958, 958)",208
"(750, 875, 958, 1083)",208
"(750, 1000, 958, 1208)",208
"(750, 1125, 958, 1333)",208
"(750, 1250, 958, 1458)",208
"(750, 1375, 958, 1583)",208
"(750, 1500, 958, 1708)",208
"(750, 1625, 958, 1833)",208
"(875, 0, 1083, 208)",208
"(875, 125, 1083, 333)",208
"(875, 250, 1083, 458)",208
"(875, 375, 1083, 583)",208
"(875, 500, 1083, 708)",208
"(875, 625, 1083, 833)",208
"(875, 750, 1083, 958)",208
"(875, 875, 1083, 1083)",208
"(875, 1000, 1083, 1208)",208
"(875, 1125, 1083, 1333)",208
"(875, 1250, 1083, 1458)",208
"(875, 1375, 1083, 1583)",208
"(875, 1500, 1083, 1708)",208
"(875, 1625, 1083, 1833)",208
"(0, 0, 278, 278)",278
"(0, 166, 278, 444)",278
"(0, 332, 278, 610)",278
"(0, 498, 278, 776)",278
"(0, 664, 278, 942)",278
"(0, 830, 278, 1108)",278
"(0, 996, 278, 1274)",278
"(0, 1162, 278, 1440)",278
