bbox_bounds,winsize
"(0, 0, 208, 208)",208
"(0, 125, 208, 333)",208
"(0, 250, 208, 458)",208
"(0, 375, 208, 583)",208
"(0, 500, 208, 708)",208
"(0, 625, 208, 833)",208
"(0, 750, 208, 958)",208
"(0, 875, 208, 1083)",208
"(0, 1000, 208, 1208)",208
"(0, 1125, 208, 1333)",208
"(0, 1250, 208, 1458)",208
"(0, 1375, 208, 1583)",208
"(0, 1500, 208, 1708)",208
"(0, 1625, 208, 1833)",208
"(0, 1750, 208, 1958)",208
"(0, 1875, 208, 2083)",208
"(0, 2000, 208, 2208)",208
"(0, 2125, 208, 2333)",208
"(0, 2250, 208, 2458)",208
"(0, 2375, 208, 2583)",208
"(0, 2500, 208, 2708)",208
"(0, 2625, 208, 2833)",208
"(0, 2750, 208, 2958)",208
"(0, 2875, 208, 3083)",208
"(0, 3000, 208, 3208)",208
"(0, 3125, 208, 3333)",208
"(0, 3250, 208, 3458)",208
"(0, 3375, 208, 3583)",208
"(0, 3500, 208, 3708)",208
"(0, 3625, 208, 3833)",208
"(0, 3750, 208, 3958)",208
"(0, 3875, 208, 4083)",208
"(0, 4000, 208, 4208)",208
"(0, 4125, 208, 4333)",208
"(0, 4250, 208, 4458)",208
"(0, 4375, 208, 4583)",208
"(0, 4500, 208, 4708)",208
"(0, 4625, 208, 4833)",208
"(0, 4750, 208, 4958)",208
"(0, 4875, 208, 5083)",208
"(0, 5000, 208, 5208)",208
"(0, 5125, 208, 5333)",208
"(0, 5250, 208, 5458)",208
"(0, 5375, 208, 5583)",208
"(125, 0, 333, 208)",208
"(125, 125, 333, 333)",208
"(125, 250, 333, 458)",208
"(125, 375, 333, 583)",208
"(125, 500, 333, 708)",208
"(125, 625, 333, 833)",208
"(125, 750, 333, 958)",208
"(125, 875, 333, 1083)",208
"(125, 1000, 333, 1208)",208
"(125, 1125, 333, 1333)",208
"(125, 1250, 333, 1458)",208
"(125, 1375, 333, 1583)",208
"(125, 1500, 333, 1708)",208
"(125, 1625, 333, 1833)",208
"(125, 1750, 333, 1958)",208
"(125, 1875, 333, 2083)",208
"(125, 2000, 333, 2208)",208
"(125, 2125, 333, 2333)",208
"(125, 2250, 333, 2458)",208
"(125, 2375, 333, 2583)",208
"(125, 2500, 333, 2708)",208
"(125, 2625, 333, 2833)",208
"(125, 2750, 333, 2958)",208
"(125, 2875, 333, 3083)",208
"(125, 3000, 333, 3208)",208
"(125, 3125, 333, 3333)",208
"(125, 3250, 333, 3458)",208
"(125, 3375, 333, 3583)",208
"(125, 3500, 333, 3708)",208
"(125, 3625, 333, 3833)",208
"(125, 3750, 333, 3958)",208
"(125, 3875, 333, 4083)",208
"(125, 4000, 333, 4208)",208
"(125, 4125, 333, 4333)",208
"(125, 4250, 333, 4458)",208
"(125, 4375, 333, 4583)",208
"(125, 4500, 333, 4708)",208
"(125, 4625, 333, 4833)",208
"(125, 4750, 333, 4958)",208
"(125, 4875, 333, 5083)",208
"(125, 5000, 333, 5208)",208
"(125, 5125, 333, 5333)",208
"(125, 5250, 333, 5458)",208
"(125, 5375, 333, 5583)",208
"(250, 0, 458, 208)",208
"(250, 125, 458, 333)",208
"(250, 250, 458, 458)",208
"(250, 375, 458, 583)",208
"(250, 500, 458, 708)",208
"(250, 625, 458, 833)",208
"(250, 750, 458, 958)",208
"(250, 875, 458, 1083)",208
"(250, 1000, 458, 1208)",208
"(250, 1125, 458, 1333)",208
"(250, 1250, 458, 1458)",208
"(250, 1375, 458, 1583)",208
"(250, 1500, 458, 1708)",208
"(250, 1625, 458, 1833)",208
"(250, 1750, 458, 1958)",208
"(250, 1875, 458, 2083)",208
"(250, 2000, 458, 2208)",208
"(250, 2125, 458, 2333)",208
"(250, 2250, 458, 2458)",208
"(250, 2375, 458, 2583)",208
"(250, 2500, 458, 2708)",208
"(250, 2625, 458, 2833)",208
"(250, 2750, 458, 2958)",208
"(250, 2875, 458, 3083)",208
"(250, 3000, 458, 3208)",208
"(250, 3125, 458, 3333)",208
"(250, 3250, 458, 3458)",208
"(250, 3375, 458, 3583)",208
